Keyword,Year,Month,Trend
Apparel,2024,8,89
Apparel,2024,9,90.2
Apparel,2024,10,82.5
Apparel,2024,11,89.25
Apparel,2024,12,87.8
Apparel,2025,1,92.5
Apparel,2025,2,88.5
Apparel,2025,3,88.2
Apparel,2025,4,85.75
Apparel,2025,5,85.75
Apparel,2025,6,95
Apparel,2025,7,92.75
Apparel,2025,8,88.66666667
Books,2024,8,88.5
Books,2024,9,85
Books,2024,10,77.25
Books,2024,11,79.25
Books,2024,12,81.8
Books,2025,1,87.25
Books,2025,2,84.25
Books,2025,3,92.6
Books,2025,4,87.5
Books,2025,5,81.75
Books,2025,6,88.2
Books,2025,7,90.5
Books,2025,8,83.33333333
Cameras,2024,8,79.5
Cameras,2024,9,77.2
Cameras,2024,10,77
Cameras,2024,11,82
Cameras,2024,12,88.8
Cameras,2025,1,94
Cameras,2025,2,89.25
Cameras,2025,3,81.4
Cameras,2025,4,79.25
Cameras,2025,5,80.75
Cameras,2025,6,84.8
Cameras,2025,7,86.5
Cameras,2025,8,84
Clothing,2024,8,63.5
Clothing,2024,9,61.8
Clothing,2024,10,68.75
Clothing,2024,11,73.75
Clothing,2024,12,75.4
Clothing,2025,1,63.75
Clothing,2025,2,58.75
Clothing,2025,3,66.8
Clothing,2025,4,71.5
Clothing,2025,5,69
Clothing,2025,6,68.4
Clothing,2025,7,63.25
Clothing,2025,8,64
Cosmetics,2024,8,86
Cosmetics,2024,9,85
Cosmetics,2024,10,87.25
Cosmetics,2024,11,91.75
Cosmetics,2024,12,84.2
Cosmetics,2025,1,96
Cosmetics,2025,2,91
Cosmetics,2025,3,82.8
Cosmetics,2025,4,83.5
Cosmetics,2025,5,85.75
Cosmetics,2025,6,82
Cosmetics,2025,7,80.75
Cosmetics,2025,8,81.66666667
Electronics,2024,8,58.5
Electronics,2024,9,63.6
Electronics,2024,10,62.25
Electronics,2024,11,54.25
Electronics,2024,12,51.6
Electronics,2025,1,53.25
Electronics,2025,2,49.5
Electronics,2025,3,51.8
Electronics,2025,4,52.5
Electronics,2025,5,54
Electronics,2025,6,56.8
Electronics,2025,7,73.75
Electronics,2025,8,56.33333333
Gaming Consoles,2024,8,49
Gaming Consoles,2024,9,44.4
Gaming Consoles,2024,10,40.25
Gaming Consoles,2024,11,38.5
Gaming Consoles,2024,12,62.2
Gaming Consoles,2025,1,33.5
Gaming Consoles,2025,2,40.25
Gaming Consoles,2025,3,43.2
Gaming Consoles,2025,4,57.25
Gaming Consoles,2025,5,59.5
Gaming Consoles,2025,6,50.2
Gaming Consoles,2025,7,54.5
Gaming Consoles,2025,8,51.33333333
Grocery,2024,8,93
Grocery,2024,9,95.2
Grocery,2024,10,91.25
Grocery,2024,11,93.25
Grocery,2024,12,89.4
Grocery,2025,1,92.25
Grocery,2025,2,89
Grocery,2025,3,85
Grocery,2025,4,80
Grocery,2025,5,82.75
Grocery,2025,6,89.8
Grocery,2025,7,87.5
Grocery,2025,8,90
Headphones,2024,8,88
Headphones,2024,9,90
Headphones,2024,10,82
Headphones,2024,11,75.25
Headphones,2024,12,74.2
Headphones,2025,1,78.25
Headphones,2025,2,75.5
Headphones,2025,3,71.6
Headphones,2025,4,71.5
Headphones,2025,5,78
Headphones,2025,6,87
Headphones,2025,7,93
Headphones,2025,8,89.33333333
Home,2024,8,96.5
Home,2024,9,93.4
Home,2024,10,91.75
Home,2024,11,88.25
Home,2024,12,88.8
Home,2025,1,92.5
Home,2025,2,90.75
Home,2025,3,94.2
Home,2025,4,91.5
Home,2025,5,88
Home,2025,6,92
Home,2025,7,91
Home,2025,8,89.33333333
Jewelry,2024,8,91.5
Jewelry,2024,9,88.4
Jewelry,2024,10,96
Jewelry,2024,11,95.5
Jewelry,2024,12,89.4
Jewelry,2025,1,94.5
Jewelry,2025,2,94
Jewelry,2025,3,88
Jewelry,2025,4,92.5
Jewelry,2025,5,84.25
Jewelry,2025,6,88.6
Jewelry,2025,7,88.75
Jewelry,2025,8,93
Kitchen,2024,8,83
Kitchen,2024,9,89
Kitchen,2024,10,82.75
Kitchen,2024,11,78.5
Kitchen,2024,12,79.6
Kitchen,2025,1,79.5
Kitchen,2025,2,79.75
Kitchen,2025,3,78
Kitchen,2025,4,78.75
Kitchen,2025,5,79
Kitchen,2025,6,83.4
Kitchen,2025,7,80.75
Kitchen,2025,8,80.33333333
Laptops,2024,8,73
Laptops,2024,9,82.4
Laptops,2024,10,73
Laptops,2024,11,61.25
Laptops,2024,12,60.6
Laptops,2025,1,69.25
Laptops,2025,2,65.75
Laptops,2025,3,70.2
Laptops,2025,4,69.25
Laptops,2025,5,75.75
Laptops,2025,6,87
Laptops,2025,7,87.5
Laptops,2025,8,87.66666667
Outdoors,2024,8,79.5
Outdoors,2024,9,80.2
Outdoors,2024,10,88.5
Outdoors,2024,11,93
Outdoors,2024,12,92.8
Outdoors,2025,1,89.5
Outdoors,2025,2,88.5
Outdoors,2025,3,83.6
Outdoors,2025,4,83.75
Outdoors,2025,5,79.25
Outdoors,2025,6,82.2
Outdoors,2025,7,77.5
Outdoors,2025,8,87.66666667
Pet Supplies,2024,8,68
Pet Supplies,2024,9,48.6
Pet Supplies,2024,10,78
Pet Supplies,2024,11,76.75
Pet Supplies,2024,12,34.8
Pet Supplies,2025,1,77.5
Pet Supplies,2025,2,37.25
Pet Supplies,2025,3,42.8
Pet Supplies,2025,4,47.75
Pet Supplies,2025,5,78.25
Pet Supplies,2025,6,62.4
Pet Supplies,2025,7,35.75
Pet Supplies,2025,8,50
Shoes,2024,8,71.5
Shoes,2024,9,75.8
Shoes,2024,10,90
Shoes,2024,11,91
Shoes,2024,12,92
Shoes,2025,1,89.25
Shoes,2025,2,77.25
Shoes,2025,3,76.4
Shoes,2025,4,76
Shoes,2025,5,72.5
Shoes,2025,6,71
Shoes,2025,7,73.5
Shoes,2025,8,73.33333333
Skincare,2024,8,75
Skincare,2024,9,71.8
Skincare,2024,10,73.25
Skincare,2024,11,83.25
Skincare,2024,12,85.4
Skincare,2025,1,93.75
Skincare,2025,2,87.5
Skincare,2025,3,89.2
Skincare,2025,4,88.75
Skincare,2025,5,83
Skincare,2025,6,87.6
Skincare,2025,7,78.5
Skincare,2025,8,80.33333333
Smartphones,2024,8,65.5
Smartphones,2024,9,81.8
Smartphones,2024,10,69.75
Smartphones,2024,11,60.5
Smartphones,2024,12,66.8
Smartphones,2025,1,74.75
Smartphones,2025,2,72
Smartphones,2025,3,70.8
Smartphones,2025,4,69.25
Smartphones,2025,5,67.25
Smartphones,2025,6,81
Smartphones,2025,7,75.75
Smartphones,2025,8,78.66666667
Smartwatches,2024,8,0
Smartwatches,2024,9,0
Smartwatches,2024,10,53.75
Smartwatches,2024,11,4
Smartwatches,2024,12,0.8
Smartwatches,2025,1,0.5
Smartwatches,2025,2,0
Smartwatches,2025,3,0
Smartwatches,2025,4,0
Smartwatches,2025,5,0
Smartwatches,2025,6,0
Smartwatches,2025,7,0
Smartwatches,2025,8,0
Snacks,2024,8,87.5
Snacks,2024,9,86.6
Snacks,2024,10,89.5
Snacks,2024,11,84
Snacks,2024,12,88.6
Snacks,2025,1,84.5
Snacks,2025,2,82.5
Snacks,2025,3,84.8
Snacks,2025,4,81
Snacks,2025,5,79.25
Snacks,2025,6,90.6
Snacks,2025,7,87.25
Snacks,2025,8,98
Speakers,2024,8,18.5
Speakers,2024,9,20.8
Speakers,2024,10,20.25
Speakers,2024,11,19
Speakers,2024,12,19.2
Speakers,2025,1,18
Speakers,2025,2,23.25
Speakers,2025,3,58.6
Speakers,2025,4,16.75
Speakers,2025,5,17
Speakers,2025,6,17.8
Speakers,2025,7,18
Speakers,2025,8,20.33333333
Sports,2024,8,52
Sports,2024,9,52.4
Sports,2024,10,63.5
Sports,2024,11,68.75
Sports,2024,12,65
Sports,2025,1,49.75
Sports,2025,2,69.25
Sports,2025,3,82.6
Sports,2025,4,89.25
Sports,2025,5,72.25
Sports,2025,6,56.8
Sports,2025,7,51
Sports,2025,8,44
Tablets,2024,8,95.5
Tablets,2024,9,95.6
Tablets,2024,10,92
Tablets,2024,11,90.75
Tablets,2024,12,86.2
Tablets,2025,1,88.25
Tablets,2025,2,92.75
Tablets,2025,3,89.4
Tablets,2025,4,83.25
Tablets,2025,5,84.25
Tablets,2025,6,89
Tablets,2025,7,91.75
Tablets,2025,8,96.33333333
Toys,2024,8,89
Toys,2024,9,86.4
Toys,2024,10,85
Toys,2024,11,89
Toys,2024,12,95.6
Toys,2025,1,96.5
Toys,2025,2,93
Toys,2025,3,91
Toys,2025,4,91.5
Toys,2025,5,91
Toys,2025,6,93.8
Toys,2025,7,93.75
Toys,2025,8,95.33333333
